MGI:MGI:107157	Sin3a
MGI:MGI:1201407	Sh2b1
MGI:MGI:1201408	Srpk2
MGI:MGI:1342296	Stxbp4
MGI:MGI:1922863	Med25
MGI:MGI:1922858	Chmp4b
MGI:MGI:2385139	Rabgap1
MGI:MGI:108061	Wnt10b
MGI:MGI:108062	Siah2
MGI:MGI:108069	Ccna2
MGI:MGI:894324	Cenpx
MGI:MGI:894318	Cdk14
MGI:MGI:894310	Sept8
MGI:MGI:1345150	Cdc6
MGI:MGI:1345142	Ik
MGI:MGI:1313288	Incenp
MGI:MGI:1345139	Spry1
MGI:MGI:2145099	Mis18bp1
MGI:MGI:1313278	Fzd9
MGI:MGI:3703318	Gm5168
MGI:MGI:105942	Hcfc1
MGI:MGI:109211	Pkn2
MGI:MGI:5434982	Sly
MGI:MGI:1928393	Arl2
MGI:MGI:1329034	Ccne2
MGI:MGI:1921643	Map10
MGI:MGI:109240	Ube2l3
MGI:MGI:1329021	Msh5
MGI:MGI:1916966	Trip13
MGI:MGI:88059	App
MGI:MGI:104799	Pea15a
MGI:MGI:104798	Tnf
MGI:MGI:88042	Apex1
MGI:MGI:1099439	Stk10
MGI:MGI:1099436	Rad51b
MGI:MGI:88039	Apc
MGI:MGI:104779	Prkdc
MGI:MGI:104772	Cdk2
MGI:MGI:88026	Ank3
MGI:MGI:104754	Sik1
MGI:MGI:104749	Osm
MGI:MGI:104747	Pkia
MGI:MGI:891999	Adarb1
MGI:MGI:891995	Mapre1
MGI:MGI:2654470	Ctdsp1
MGI:MGI:104738	Cdkn2a
MGI:MGI:104737	Cdkn2b
MGI:MGI:104736	Evi5
MGI:MGI:1270156	Sept4
MGI:MGI:891964	Xrn1
MGI:MGI:98294	Shb
MGI:MGI:106181	Mybbp1a
MGI:MGI:98510	Tcf3
MGI:MGI:1888939	Sept6
MGI:MGI:1349766	Brd7
MGI:MGI:1918309	Hexim2
MGI:MGI:1858222	Sept9
MGI:MGI:2142989	Ncapd3
MGI:MGI:1891384	Mov10l1
MGI:MGI:1933281	Sycp2
MGI:MGI:1891374	Brdt
MGI:MGI:3650217	Btbd18
MGI:MGI:1349717	Ncor1
MGI:MGI:1343297	Drg1
MGI:MGI:1933237	Tex11
MGI:MGI:1933227	Tex14
MGI:MGI:88259	Camk2g
MGI:MGI:88257	Camk2b
MGI:MGI:88256	Camk2a
MGI:MGI:88252	Calr
MGI:MGI:88251	Calm1
MGI:MGI:1916023	Zc3hc1
MGI:MGI:88215	Btg1
MGI:MGI:1277096	Ptp4a1
MGI:MGI:2139395	Golga2
MGI:MGI:107917	Stra8
MGI:MGI:2144047	Stradb
MGI:MGI:104900	Nup88
MGI:MGI:107927	Rock1
MGI:MGI:98480	Tal1
MGI:MGI:2139369	Rtel1
MGI:MGI:2144023	Fbxw11
MGI:MGI:1924303	Sun1
MGI:MGI:1354386	Lats2
MGI:MGI:1349669	Spo11
MGI:MGI:1918206	Tex19.2
MGI:MGI:106067	Smc2
MGI:MGI:106065	Ppm1g
MGI:MGI:1921799	Mau2
MGI:MGI:102764	Six3
MGI:MGI:106035	Mki67
MGI:MGI:1891258	Parp3
MGI:MGI:3041167	Piwil4
MGI:MGI:3041177	Taok3
MGI:MGI:3645767	Rnf212
MGI:MGI:893588	Cirbp
MGI:MGI:893579	Khdrbs1
MGI:MGI:1928760	Ruvbl1
MGI:MGI:1344395	Chd3
MGI:MGI:1341908	Uhmk1
MGI:MGI:1344353	Katna1
MGI:MGI:1344345	Smc1a
MGI:MGI:2146071	Tubgcp6
MGI:MGI:2176159	Cyp26b1
MGI:MGI:1099809	Fgf10
MGI:MGI:2144284	Inca1
MGI:MGI:1923185	Ppp1r1c
